ISO,Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
LTU,Lithuania,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,1.0,1.03,0.88,0.81,0.49,0.27,0.49,0.58,0.63,0.6,0.52,0.52,0.58,0.6,0.6,0.46,0.45,0.43,0.41,0.37,0.31,0.25,0.29,0.52,0.57,0.61,0.63,1.13,0.99,0.71
SWE,Sweden,Climate Watch,Waste,All GHG,MtCO₂e,0.99,1.04,1.09,1.14,1.23,1.32,1.43,1.51,1.63,1.75,1.86,1.96,2.24,2.44,2.53,2.7,2.73,2.88,3.07,3.12,3.22,3.35,3.41,3.44,3.48,3.48,3.62,3.74,3.74,3.69
BGR,Bulgaria,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,0.96,1.03,0.97,0.89,0.81,0.77,0.77,0.7,0.75,0.81,1.11,1.02,0.71,0.88,0.92,0.83,0.92,0.71,0.62,0.45,0.24,0.61,0.47,1.43,1.86,1.84,2.06,1.8,1.65,0.9
IRL,Ireland,Climate Watch,Waste,All GHG,MtCO₂e,0.9,0.91,0.91,0.91,0.89,0.79,0.6,0.45,0.52,0.42,0.43,0.61,0.75,1.18,1.15,1.33,1.6,1.59,1.51,1.41,1.41,1.41,1.35,1.61,1.73,1.69,1.65,1.6,1.53,1.45
LTU,Lithuania,Climate Watch,Waste,All GHG,MtCO₂e,0.9,0.91,0.92,0.94,1.0,1.07,1.15,1.19,1.23,1.32,1.36,1.41,1.42,1.45,1.48,1.52,1.55,1.56,1.57,1.54,1.53,1.56,1.57,1.57,1.57,1.54,1.59,1.57,1.59,1.57
DNK,Denmark,Climate Watch,Waste,All GHG,MtCO₂e,0.85,0.88,0.9,0.93,0.96,1.0,1.01,1.04,1.07,1.06,1.11,1.17,1.19,1.21,1.16,1.18,1.47,1.48,1.46,1.43,1.43,1.38,1.43,1.52,1.58,1.67,1.74,1.74,1.77,1.77
SVN,Slovenia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.85,0.84,0.83,0.79,0.8,0.82,0.78,0.71,0.67,0.68,0.73,0.89,0.92,0.9,0.85,0.8,0.75,0.71,0.75,0.73,0.68,0.67,0.65,0.63,0.6,0.57,0.47,0.56,0.19,0.26
HUN,Hungary,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,0.84,0.83,0.67,0.58,0.54,0.53,0.5,0.51,0.72,0.71,0.71,0.83,0.75,0.82,0.81,0.7,0.61,0.63,0.66,0.71,0.63,0.59,0.56,0.58,0.55,0.57,0.38,0.41,0.39,0.5
EST,Estonia,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,0.79,1.15,1.18,1.01,1.09,1.18,1.5,1.47,0.74,0.81,0.83,1.01,0.97,0.84,0.54,0.58,0.42,0.43,0.37,0.4,0.42,0.39,0.39,0.34,0.34,0.45,0.54,0.43,0.79,0.69
LVA,Latvia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.78,0.79,0.69,0.62,0.72,0.8,0.76,0.78,0.76,0.63,0.36,0.34,0.31,0.28,0.21,0.2,0.18,0.16,0.15,0.12,0.17,0.13,0.13,0.13,0.12,0.1,0.04,0.16,0.02,0.02
SVN,Slovenia,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,0.69,0.82,0.57,0.45,0.28,0.26,0.27,0.23,0.17,0.14,0.19,0.31,0.25,0.17,0.14,0.06,0.08,0.09,0.08,0.07,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.03,0.02,0.08
HRV,Croatia,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,0.68,0.62,0.47,0.39,0.36,0.38,0.38,0.35,0.39,0.32,0.29,0.39,0.35,0.33,0.34,0.29,0.25,0.27,0.29,0.26,0.31,0.34,0.31,0.38,0.35,0.36,0.18,0.07,0.1,0.59
LVA,Latvia,Climate Watch,Waste,All GHG,MtCO₂e,0.67,0.67,0.67,0.67,0.66,0.7,0.7,0.71,0.69,0.73,0.7,0.72,0.72,0.7,0.69,0.66,0.67,0.72,0.72,0.69,0.63,0.62,0.61,0.59,0.58,0.57,0.58,0.65,0.69,0.66
LUX,Luxembourg,Climate Watch,Agriculture,All GHG,MtCO₂e,0.64,0.64,0.67,0.66,0.65,0.64,0.63,0.62,0.63,0.64,0.63,0.63,0.62,0.6,0.61,0.63,0.61,0.63,0.57,0.57,0.67,0.65,0.65,0.67,0.67,0.66,0.66,0.66,0.67,0.68
ROU,Romania,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,0.57,0.47,1.1,0.98,0.86,0.88,0.63,0.45,0.47,0.55,0.5,0.63,0.48,0.47,0.38,0.41,0.35,0.29,0.34,0.38,0.39,0.42,0.37,0.26,0.56,0.5,0.76,0.75,0.5,0.7
CYP,Cyprus,Climate Watch,Waste,All GHG,MtCO₂e,0.55,0.55,0.55,0.55,0.54,0.53,0.52,0.51,0.5,0.5,0.5,0.49,0.49,0.48,0.49,0.48,0.48,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.42,0.41,0.4,0.39,0.39
SVN,Slovenia,Climate Watch,Waste,All GHG,MtCO₂e,0.5,0.51,0.52,0.53,0.53,0.53,0.56,0.59,0.61,0.61,0.62,0.68,0.75,0.79,0.81,0.83,0.83,0.82,0.81,0.8,0.78,0.76,0.74,0.72,0.71,0.7,0.69,0.68,0.68,0.67
EST,Estonia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.49,0.51,0.53,0.43,0.43,0.64,0.61,0.61,0.61,0.49,0.42,0.76,0.77,0.57,0.51,0.49,0.45,0.46,0.48,0.46,0.43,0.46,0.44,0.4,0.38,0.36,0.25,0.34,0.01,0.01
LUX,Luxembourg,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.45,0.43,0.43,0.42,0.4,0.43,0.44,0.44,0.45,0.43,0.42,0.44,0.46,0.46,0.46,0.47,0.43,0.49,0.47,0.53,0.5,0.48,0.47,0.46,0.46,0.51,0.46,0.54,0.52,0.55
CYP,Cyprus,Climate Watch,Agriculture,All GHG,MtCO₂e,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.42,0.43,0.44,0.42,0.41,0.42,0.43,0.42,0.46,0.48,0.5,0.46,0.43,0.44,0.44,0.43,0.46,0.44,0.43,0.43,0.43,0.38,0.38
SVN,Slovenia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.36,0.35,0.35,0.35,-2.62,-2.62,-2.62,-2.62,-2.61,-11.51,-11.51,-11.52,-11.52,-11.52,-11.52,-11.52,-11.51,-11.51,-11.51,-9.35,-9.35,-9.39,-9.39,-9.39,-9.39,-9.39,-9.39,-9.39,-9.39,-9.39
PRT,Portugal,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.26,0.28,0.81,0.39,-0.82,-0.85,-0.79,-0.82,-0.84,0.6,0.55,0.55,0.55,0.59,0.92,0.56,0.95,0.58,0.56,1.49,1.52,1.56,1.51,1.59,1.51,1.51,1.51,1.51,1.51,1.51
EST,Estonia,Climate Watch,Waste,All GHG,MtCO₂e,0.24,0.25,0.26,0.27,0.3,0.31,0.34,0.38,0.39,0.44,0.43,0.44,0.46,0.48,0.5,0.53,0.53,0.55,0.56,0.55,0.51,0.5,0.49,0.43,0.39,0.41,0.41,0.39,0.38,0.37
MLT,Malta,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.21,0.23,0.24,0.26,0.25,0.23,0.22,0.2,0.18,0.15,0.14,0.12,0.1,0.08,0.05,0.03,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,Belgium,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.2,0.2,0.2,0.2,-2.32,-2.32,-2.32,-2.32,-2.32,-2.97,-2.97,-2.97,-2.97,-2.97,-2.97,-2.97,-2.97,-2.97,-2.96,-3.97,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88
MLT,Malta,Climate Watch,Waste,All GHG,MtCO₂e,0.17,0.17,0.16,0.16,0.15,0.14,0.13,0.14,0.14,0.15,0.13,0.12,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.14,0.13,0.13,0.11,0.11,0.1,0.1,0.09,0.08,0.07,0.07
SVK,Slovakia,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,0.14,0.14,0.12,0.15,0.13,0.11,0.12,0.11,0.13,0.12,0.14,0.19,0.15,0.12,0.12,0.08,0.1,0.14,0.09,0.08,0.06,0.09,0.11,0.12,0.12,0.1,0.0,0.0,0.0,0.0
LVA,Latvia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.09,0.09,0.08,0.08,0.22,0.22,0.26,0.26,0.25,-10.92,-10.96,-10.97,-11.03,-11.06,-11.09,-11.1,-11.15,-11.19,-11.2,-10.03,-10.26,-10.42,-10.46,-10.5,-10.51,-10.67,-10.67,-10.67,-10.67,-10.67
LUX,Luxembourg,Climate Watch,Waste,All GHG,MtCO₂e,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11
MLT,Malta,Climate Watch,Agriculture,All GHG,MtCO₂e,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12
IRN,Iran,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,-44.2,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-44.27,-20.4,-20.38,-20.4,-20.4,-20.36,-20.41,-20.41,-20.41,-20.41,-20.41,-20.41
MLT,Malta,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP,Cyprus,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-0.25,-0.25,-0.25,-0.25,-0.32,-0.32,-0.32,-0.32,-0.32,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
LUX,Luxembourg,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-0.28,-0.28,-0.27,-0.28,-0.24,-0.24,-0.24,-0.24,-0.24,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.55,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64
SVK,Slovakia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-1.03,-1.03,-1.03,-1.03,-7.57,-7.57,-7.57,-7.57,-7.57,-8.37,-8.37,-8.37,-8.37,-8.37,-8.37,-8.37,-8.37,-8.37,-8.37,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4
HRV,Croatia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-4.34,-4.35,-4.34,-4.35,-1.49,-1.5,-1.5,-1.5,-1.48,-0.83,-0.83,-0.83,-0.83,-0.84,-0.83,-0.83,-0.83,-0.83,-0.83,-0.84,-0.85,-0.79,-0.84,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
CZE,Czech Republic,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-5.67,-5.67,-5.67,-5.67,-3.49,-3.49,-3.49,-3.49,-3.49,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.79,-6.79,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29,-9.29
AUT,Austria,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-6.93,-6.93,-6.93,-6.93,-6.88,-6.87,-6.87,-6.88,-6.88,-5.97,-5.97,-5.98,-5.98,-5.98,-5.97,-5.98,-5.98,-5.98,-5.98,-13.29,-13.3,-13.31,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3
SWE,Sweden,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-11.35,-11.63,-12.13,-12.27,-17.86,-17.83,-17.96,-17.98,-18.03,-6.84,-7.1,-7.27,-7.38,-7.45,-7.51,-7.72,-7.87,-7.94,-7.96,5.61,5.42,5.34,5.29,5.28,5.28,5.25,5.25,5.25,5.25,5.25
DEU,Germany,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-11.57,-11.49,-11.49,-11.48,-11.3,-11.29,-11.27,-11.26,-11.26,-0.39,-0.39,-0.39,-0.37,-0.38,-0.37,-0.38,-0.23,-0.08,0.03,-32.96,-32.89,-32.81,-32.8,-32.79,-32.73,-32.77,-32.76,-32.75,-32.75,-32.75
ITA,Italy,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-12.92,-12.9,-12.85,-12.9,-34.76,-34.75,-34.75,-34.71,-34.74,-34.8,-34.79,-34.79,-34.73,-34.8,-34.8,-34.79,-34.79,-34.8,-34.8,-34.56,-34.58,-34.58,-34.59,-34.59,-34.59,-34.59,-34.59,-34.59,-34.59,-34.59
ESP,Spain,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-13.89,-13.92,-13.85,-13.89,-7.87,-7.89,-7.88,-7.84,-7.87,-19.17,-19.14,-19.17,-19.14,-19.01,-19.08,-19.13,-19.08,-19.15,-19.19,-42.48,-42.57,-42.5,-42.42,-42.62,-42.67,-42.66,-42.66,-42.66,-42.66,-42.66
POL,Poland,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-17.47,-17.4,-17.41,-17.38,-11.57,-11.57,-11.53,-11.53,-11.53,-56.06,-56.06,-56.03,-56.02,-56.01,-56.01,-56.01,-55.86,-55.77,-55.69,2.28,2.3,2.4,2.42,2.47,2.64,2.69,2.71,2.71,2.71,2.71
ROU,Romania,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-22.91,-22.93,-22.92,-22.93,-285.17,-285.16,-285.16,-285.13,-285.14,-2.73,-2.73,-2.74,-2.73,-2.72,-2.74,-2.74,-2.73,-2.73,-2.73,0.67,0.68,0.68,0.68,0.68,0.66,0.66,0.66,0.66,0.66,0.66
JPN,Japan,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-31.78,-31.76,-31.77,-31.77,-49.45,-49.38,-49.34,-49.28,-49.2,-97.84,-97.74,-97.6,-97.52,-97.37,-97.31,-97.24,-97.24,-97.23,-97.21,-75.51,-75.5,-75.52,-75.51,-75.49,-75.46,-75.49,-75.44,-75.39,-75.39,-75.39
IND,India,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-31.86,-29.25,-27.95,-30.76,-62.54,-61.16,-60.05,-55.84,-61.81,12.38,14.28,6.94,9.29,7.15,6.82,8.89,6.91,4.31,4.62,-220.67,-219.33,-220.9,-220.92,-220.69,-217.76,-217.78,-217.78,-217.78,-217.78,-217.78
BGR,Bulgaria,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-33.88,-33.88,-33.88,-33.87,-12.19,-12.19,-12.19,-12.18,-12.18,-23.62,-23.63,-23.63,-23.6,-23.62,-23.62,-23.62,-23.62,-23.62,-23.62,-21.8,-21.83,-21.82,-21.83,-21.82,-21.83,-21.83,-21.83,-21.83,-21.83,-21.83
KOR,South Korea,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-45.8,-45.8,-45.8,-45.8,-50.46,-50.45,-50.45,-50.46,-50.44,-60.12,-60.11,-60.12,-60.11,-60.12,-60.1,-60.11,-60.11,-60.11,-60.12,-42.41,-42.43,-42.43,-42.43,-42.43,-42.43,-42.43,-42.43,-42.43,-42.43,-42.43
FRA,France,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-61.39,-61.42,-61.36,-61.42,-60.54,-60.52,-60.54,-60.48,-60.54,-65.92,-65.9,-65.91,-65.92,-65.92,-65.88,-65.9,-65.76,-65.79,-65.75,-24.35,-24.35,-24.32,-24.32,-24.31,-24.3,-24.3,-24.29,-24.29,-24.29,-24.29
EUU,European Union (27),Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-161.43,-161.71,-161.87,-162.67,-503.49,-503.46,-503.39,-503.25,-503.5,-242.89,-243.36,-243.59,-243.52,-243.76,-243.64,-244.33,-243.85,-244.17,-244.07,-204.61,-205.58,-205.89,-206.38,-206.46,-206.33,-206.64,-206.59,-206.56,-206.48,-206.48
USA,United States,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-220.19,-219.06,-218.99,-220.19,-406.3,-407.58,-407.49,-407.56,-407.28,-390.82,-390.53,-389.44,-389.55,-390.33,-390.43,-390.11,-389.89,-389.92,-390.91,-405.09,-405.29,-405.84,-407.42,-405.71,-406.69,-406.92,-406.77,-406.62,-406.62,-406.62
RUS,Russia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-529.3,-528.74,-532.12,-529.2,-661.3,-654.31,-661.65,-654.01,-658.08,-739.73,-742.1,-736.42,-743.4,-740.26,-742.62,-739.3,-738.16,-740.51,-742.95,-340.61,-342.06,-337.73,-344.77,-331.98,-345.4,-345.38,-345.37,-345.36,-345.08,-345.08
CHN,China,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-647.28,-647.35,-647.64,-647.39,-707.51,-707.18,-707.55,-707.57,-707.43,-329.15,-329.25,-328.28,-329.41,-329.6,-329.43,-329.02,-328.87,-329.71,-329.42,-345.56,-345.77,-345.65,-345.89,-345.97,-346.44,-346.49,-346.49,-346.49,-346.49,-346.49
